source,title,company,location,date,link
Keejob,Technico-Commerciale,None,"Sfax Sud,                                                            Sfax",24 avril 2026,https://www.keejob.com/offres-emploi/companies/31966/green-energy-company/
Keejob,Commercial,None,Tunis,24 avril 2026,https://www.keejob.com/offres-emploi/companies/23019/immobilier-finance-conseil/
Keejob,Représentant Commercial /Région Nord-Ouest/,None,Béja,24 avril 2026,https://www.keejob.com/offres-emploi/companies/17517/deutschcolor/
Keejob,Responsable de Production,None,"El Hrairia,                                                            Tunis",24 avril 2026,https://www.keejob.com/offres-emploi/companies/34545/republic-of-mlawi/
Keejob,Technical Promotor,None,Ben Arous,24 avril 2026,https://www.keejob.com/offres-emploi/companies/159/crit/
Keejob,RESPPONSABLE MAINTENANCE,None,"Kairouan Nord,                                                            Kairouan",24 avril 2026,https://www.keejob.com/offres-emploi/companies/17517/deutschcolor/
Keejob,Technicien de laboratoire CQ,None,Tunis,24 avril 2026,https://www.keejob.com/offres-emploi/companies/17060/ceva-s-a-tunisie/
Keejob,Chef déquipe usinage,None,"Sousse Ville,                                                            Sousse",24 avril 2026,https://www.keejob.com/offres-emploi/239857/team-leader-chef-d%C3%A9quipe-usinage/
Keejob,Ingèneur en inrastructure,None,Ben Arous,24 avril 2026,https://www.keejob.com/offres-emploi/239867/ingenieur-en-inrastructure/
Keejob,Analystes Financiers,None,Tunis,24 avril 2026,https://www.keejob.com/offres-emploi/companies/159/crit/
Keejob,Aide-soignante,None,Ariana,24 avril 2026,https://www.keejob.com/offres-emploi/companies/32394/convalescence-le-havre-el-menzah/
Keejob,télésecrétaire médicale,None,"Cite El Khadra,                                                            Tunis",24 avril 2026,https://www.keejob.com/offres-emploi/companies/30610/radio-sec/
Keejob,Stagiaire Développeur Agents IA,None,"Ezzahra,                                                            Ben Arous",24 avril 2026,https://www.keejob.com/offres-emploi/239837/stagiaire-d%C3%A9veloppeur-agents-ia/
Keejob,Responsable Sécurité SI,None,"Tunis,                                                            Ariana",24 avril 2026,https://www.keejob.com/offres-emploi/companies/225/phoneact/
Keejob,Préparatrice  en parapharmacie,None,"La Marsa,                                                            Tunis",24 avril 2026,https://www.keejob.com/offres-emploi/companies/28297/terres-des-lys/
Keejob,Styliste Modéliste,None,"Ksar Helal,                                                            Monastir",24 avril 2026,https://www.keejob.com/offres-emploi/239834/styliste-mod%C3%A9liste/
Keejob,Chef de parc,None,"Mornaguia,                                                            La Manouba",24 avril 2026,https://www.keejob.com/offres-emploi/239832/chef-de-parc/
Keejob,Chargé(e) Études de Prix / Chef de Projet TCE,None,"Cite El Khadra,                                                            Tunis",24 avril 2026,https://www.keejob.com/offres-emploi/239823/charg%C3%A9e-%C3%A9tudes-de-prix-chef-de-projet-tce/
Keejob,Technicien en Génie Civil,None,"Ariana Ville,                                                            Ariana",24 avril 2026,https://www.keejob.com/offres-emploi/239825/technicien-en-g%C3%A9nie-civil/
Keejob,Coursier,None,La Manouba,24 avril 2026,https://www.keejob.com/offres-emploi/companies/31019/longchamp/
Keejob,Ingénieur genie élécrique,None,"Ben Arous,                                                            Ben Arous",24 avril 2026,https://www.keejob.com/offres-emploi/239510/ingenieur-genie-electrique/
Keejob,Responsable d'Agence/ Branch Manager,None,Tunis,23 avril 2026,https://www.keejob.com/offres-emploi/companies/11980/abc-bank/
Keejob,Télévendeur en Mutuelle Santé - Sousse,None,"Hammam Sousse,                                                            Sousse",23 avril 2026,https://www.keejob.com/offres-emploi/companies/232/assist-assur/
Keejob,Expert en Conformité Financière et LCB-FT,None,Tunis,23 avril 2026,https://www.keejob.com/offres-emploi/companies/159/crit/
Keejob,secrétariat medical télétravail,None,"Centre ville,                                                            Tunis",23 avril 2026,https://www.keejob.com/offres-emploi/companies/4799/zariat/
Keejob,Community Manager,None,"Ariana Ville,                                                            Ariana",23 avril 2026,https://www.keejob.com/offres-emploi/239817/community-manager/
Keejob,Resp.Efficacité Energétique Utilités,None,"Mannouba,                                                            La Manouba",23 avril 2026,https://www.keejob.com/offres-emploi/companies/15790/etablissements-abdelmoula/
Keejob,Gestionnaire des Services Généraux,None,"Sidi Thabet,                                                            Ariana",23 avril 2026,https://www.keejob.com/offres-emploi/companies/9622/ibn-al-baytar/
Keejob,Chargé recouvrement Ariana/Djerba/Gafsa/Tunis,None,Tunis,23 avril 2026,https://www.keejob.com/offres-emploi/companies/8630/cfe-tunie/
Keejob,Chargé Crédit Sousse Moknine/ Monastir Akouda,None,Tunis,23 avril 2026,https://www.keejob.com/offres-emploi/companies/8630/cfe-tunie/
Keejob,Délégué médical - secteur nord,None,Tunis,23 avril 2026,https://www.keejob.com/offres-emploi/companies/9622/ibn-al-baytar/
Keejob,Délégué médical - secteur centre,None,Monastir,23 avril 2026,https://www.keejob.com/offres-emploi/companies/9622/ibn-al-baytar/
Keejob,HR Supervisor,None,"Sidi Thabet,                                                            Ariana",23 avril 2026,https://www.keejob.com/offres-emploi/companies/9622/ibn-al-baytar/
Keejob,Conseiller Commercial,None,"Centre ville,                                                            Tunis",23 avril 2026,https://www.keejob.com/offres-emploi/companies/891/active-contact/
Keejob,Gestionnaire opérations de transit,None,"Sidi Thabet,                                                            Ariana",23 avril 2026,https://www.keejob.com/offres-emploi/companies/9622/ibn-al-baytar/
Keejob,Assistante juridique et administrative [H/F],None,La Manouba,23 avril 2026,https://www.keejob.com/offres-emploi/companies/12807/vdi-group/
Keejob,Pharmacien/Ingénieur Affaires Réglementaires,None,Ben Arous,23 avril 2026,https://www.keejob.com/offres-emploi/239838/pharmaciening%C3%A9nieur-affaires-r%C3%A9glementaires/
Keejob,Chef/Cheffe comptable [H/F]  CDI - Manouba,None,La Manouba,23 avril 2026,https://www.keejob.com/offres-emploi/companies/12807/vdi-group/
Keejob,Le Chargé(e) au centre d'appel,None,Tunis,23 avril 2026,https://www.keejob.com/offres-emploi/companies/8630/cfe-tunie/
Keejob,Monteur régleur moule injection plastique,None,"Sfax Sud,                                                            Sfax",23 avril 2026,https://www.keejob.com/offres-emploi/239847/monteur-r%C3%A9gleur-moule-injection-plastique/
Keejob,Quality Responsible,None,"Mejez El Bab,                                                            Béja",23 avril 2026,https://www.keejob.com/offres-emploi/companies/16391/aptiv/
Keejob,Souscripteur Risque Divers et Engineering,None,"Centre ville,                                                            Tunis",23 avril 2026,https://www.keejob.com/offres-emploi/companies/17497/assurances-comar/
Keejob,Responsable ICT,None,Tunis,23 avril 2026,https://www.keejob.com/offres-emploi/companies/159/crit/
Keejob,Commercial vehicules neufs,None,Sfax,23 avril 2026,https://www.keejob.com/offres-emploi/239805/commercial-v%C3%A9hicules-neufs-vn/
Keejob,Expert(e) en visa,None,Tunis,23 avril 2026,https://www.keejob.com/offres-emploi/companies/34934/bourse-dream/
